stock-code,reference-price,celling-price,floor-price,price,volume,total-volume,total-value,highest-price,lowest-price,average-price
TTC,15.9,17.4,14.4,15.0,0.1,5.8,87000,15.0,15.0,15.0
TTH,6.2,6.8,5.6,6.8,4.0,1033.5,7002940,6.8,6.3,6.8
TTL,14.8,16.2,13.4,15.0,4.0,39.0,581960,15.0,14.8,14.9
TTT,47.8,52.5,43.1,0.0,0.0,0.0,0,0.0,0.0,0.0
TTZ,6.6,7.2,6.0,7.2,7.0,74.4,532370,7.2,6.7,7.2
TV3,21.3,23.4,19.2,23.4,0.4,117.9,2634020,23.4,21.3,22.3
TV4,16.9,18.5,15.3,16.7,0.1,12.3,202760,16.7,16.4,16.5
TVC,19.5,21.4,17.6,19.0,73.5,1188.3,22631820,19.6,18.8,19.0
TVD,12.4,13.6,11.2,12.8,11.1,77.7,995360,13.0,12.5,12.8
TXM,7.4,8.1,6.7,7.7,0.9,23.0,172750,7.7,7.3,7.5
UNI,18.0,19.8,16.2,17.5,1.1,2.7,47370,17.8,17.5,17.6
V12,21.0,23.1,18.9,20.0,0.5,5.9,121800,21.0,20.0,20.7
V21,11.0,12.1,9.9,10.9,0.4,3.2,34770,11.0,10.4,10.9
VBC,27.5,30.2,24.8,30.2,0.5,15.9,475280,30.2,28.0,29.9
VC1,20.9,22.9,18.9,22.7,0.1,0.1,2270,22.7,22.7,22.7
VC2,47.1,51.8,42.4,47.9,10.0,69.3,3267820,49.3,46.0,47.0
VC3,57.5,63.2,51.8,57.0,2.6,162.2,9252020,58.0,55.3,57.0
VC6,12.2,13.4,11.0,12.2,0.1,0.2,2450,12.3,12.2,12.2
VC7,19.4,21.3,17.5,21.3,0.1,329.0,6970470,21.3,19.4,21.2
VC9,12.9,14.1,11.7,13.1,0.4,10.0,131240,13.8,12.9,13.1
VCC,31.6,34.7,28.5,31.9,0.4,23.4,735030,32.2,28.6,31.4
VCM,17.9,19.6,16.2,0.0,0.0,0.0,0,0.0,0.0,0.0
VCS,108.8,119.6,98.0,109.8,0.5,42.4,4617050,109.9,107.8,108.9
VDL,20.0,22.0,18.0,0.0,0.0,0.0,0,0.0,0.0,0.0
VE1,6.3,6.9,5.7,6.8,0.2,12.5,84170,6.9,6.4,6.7
VE2,7.3,8.0,6.6,0.0,0.0,0.0,0,0.0,0.0,0.0
VE3,10.0,11.0,9.0,9.5,0.3,9.3,99490,11.0,9.5,10.7
VE4,60.0,66.0,54.0,0.0,0.0,0.0,0,0.0,0.0,0.0
VE8,9.6,10.5,8.7,9.7,0.5,1.1,10510,9.7,9.1,9.6
VGP,30.6,33.6,27.6,27.6,1.3,1.4,38640,27.6,27.6,27.6
VGS,37.3,41.0,33.6,38.0,68.4,288.4,10650660,38.5,35.8,36.6
VHE,8.4,9.2,7.6,8.8,6.0,331.0,2944170,9.1,8.6,8.9
VHL,26.5,29.1,23.9,24.7,0.4,1.4,34560,24.7,24.5,24.7
VIE,12.4,13.6,11.2,13.5,0.8,4.9,66180,13.6,11.2,13.5
VIF,19.2,21.1,17.3,19.4,0.7,2.2,42580,19.4,19.2,19.4
VIG,13.7,15.0,12.4,13.6,33.6,814.8,11132150,14.2,13.3,13.7
VIT,24.5,26.9,22.1,26.5,7.0,7.0,185500,26.5,26.5,0.0
VKC,8.9,9.7,8.1,9.7,0.5,346.3,3353650,9.7,9.5,9.7
VLA,81.1,89.2,73.0,82.0,1.7,11.7,973570,89.2,77.0,83.4
VMC,20.3,22.3,18.3,20.2,1.0,123.8,2508380,20.5,19.9,20.3
VMS,13.5,14.8,12.2,13.6,0.2,0.2,2720,13.6,13.6,13.6
VNC,33.0,36.3,29.7,33.2,0.1,0.1,3320,33.2,33.2,33.2
VNF,20.4,22.4,18.4,20.7,0.1,1.5,30450,20.7,19.2,20.3
VNR,27.8,30.5,25.1,27.0,11.2,39.8,1063640,27.8,25.2,26.6
VNT,67.5,74.2,60.8,73.0,0.1,0.2,14600,73.0,73.0,73.0
VSA,27.0,29.7,24.3,27.1,0.5,0.6,16300,27.5,27.1,27.2
VSM,27.2,29.9,24.5,0.0,0.0,0.0,0,0.0,0.0,0.0
VTC,15.0,16.5,13.5,15.0,0.1,0.7,10500,15.0,15.0,15.0
VTH,11.0,12.1,9.9,10.9,0.1,0.1,1090,10.9,10.9,10.9
VTJ,7.2,7.9,6.5,7.3,0.1,0.6,4400,7.5,7.3,7.3
VTL,13.0,14.3,11.7,0.0,0.0,0.0,0,0.0,0.0,0.0
VTV,8.0,8.8,7.2,8.0,4.5,80.1,648070,8.3,8.0,8.1
VTZ,11.8,12.9,10.7,11.9,0.1,21.6,253430,11.9,11.6,11.7
VXB,33.0,36.3,29.7,36.0,0.2,5.0,178870,36.0,29.7,35.8
WCS,176.0,193.6,158.4,176.0,0.1,0.3,52900,177.0,176.0,176.3
WSS,13.2,14.5,11.9,13.9,1.6,154.5,2137020,14.5,13.0,13.8
X20,14.2,15.6,12.8,0.0,0.0,0.0,0,0.0,0.0,0.0
A32,31.5,36.2,26.8,30.1,0.4,2.5,74650,30.1,29.6,29.9
AAS,24.6,28.2,21.0,26.2,0.2,314.9,8176610,27.1,25.2,26.0
ABB,20.8,23.9,17.7,21.3,1.1,2477.9,52585180,21.5,20.9,21.2
ABC,11.7,13.4,10.0,11.7,0.3,13.1,155310,12.4,11.7,11.9
ABI,54.0,62.1,45.9,56.3,0.3,213.5,11854290,62.1,52.2,55.5
ABR,21.0,24.1,17.9,21.0,0.1,1.2,25120,21.0,20.2,20.9
ACE,35.9,41.2,30.6,35.9,0.3,4.7,168960,36.0,35.9,35.9
ACG,105.3,121.0,89.6,104.8,0.1,75.8,7941680,105.0,102.0,104.8
ACS,12.2,14.0,10.4,0.0,0.0,0.0,0,0.0,0.0,0.0
ACV,87.3,100.3,74.3,87.0,0.2,9.2,798780,87.8,86.5,86.8
ADP,25.5,29.3,21.7,25.5,0.1,1.1,28050,25.5,25.5,25.5
AFX,14.8,17.0,12.6,15.2,0.1,29.5,445590,15.4,15.0,15.1
AG1,7.1,8.1,6.1,7.5,0.1,7.0,51590,7.6,7.1,7.4
AGF,4.9,5.6,4.2,4.4,0.1,22.2,96470,4.9,4.2,4.3
AGP,19.6,22.5,16.7,19.8,0.5,2.0,39810,20.0,19.8,19.9
AGX,40.0,46.0,34.0,0.0,0.0,0.0,0,0.0,0.0,0.0
AIC,13.8,15.8,11.8,13.9,1.0,4.9,68010,14.0,13.3,13.9
ALV,6.8,7.8,5.8,7.1,0.1,26.1,186590,7.8,7.0,7.1
AMP,19.5,22.4,16.6,0.0,0.0,0.0,0,0.0,0.0,0.0
AMS,12.5,14.3,10.7,12.7,2.2,98.9,1258310,13.0,12.6,12.7
ANT,13.7,15.7,11.7,15.7,0.1,10.0,156130,15.7,15.4,15.6
APF,54.9,63.1,46.7,55.2,0.2,5.8,318120,56.9,54.6,54.8
APL,20.7,23.8,17.6,0.0,0.0,0.0,0,0.0,0.0,0.0
APT,4.8,5.5,4.1,5.1,0.4,0.7,3570,5.1,5.1,5.1
ASA,14.7,16.9,12.5,12.5,0.3,251.5,3170030,16.0,12.5,12.6
ATA,4.1,4.7,3.5,3.7,0.1,300.4,1118910,4.6,3.6,3.7
ATB,2.3,2.6,2.0,2.3,5.0,351.3,812320,2.5,2.2,2.3
ATG,3.0,3.4,2.6,3.0,0.1,442.3,1317480,3.1,2.8,3.0
AUM,10.5,14.7,6.3,0.0,0.0,0.0,0,0.0,0.0,0.0
AVC,34.0,39.1,28.9,35.0,0.4,0.4,14000,35.0,35.0,35.0
AVF,1.9,2.1,1.7,1.8,5.0,2802.3,5145550,2.0,1.7,1.8
B82,2.1,2.4,1.8,2.1,0.2,455.4,911190,2.4,1.8,2.0
BAL,10.6,12.1,9.1,11.1,0.9,5.3,58390,11.1,11.0,11.0
BBH,7.9,11.0,4.8,0.0,0.0,0.0,0,0.0,0.0,0.0
BBM,10.2,11.7,8.7,0.0,0.0,0.0,0,0.0,0.0,0.0
BBT,22.4,25.7,19.1,22.8,0.4,1.8,41030,23.0,22.7,22.8
BCA,10.9,12.5,9.3,11.0,0.1,242.7,2689750,11.1,10.9,11.1
BCB,3.6,5.0,2.2,0.0,0.0,0.0,0,0.0,0.0,0.0
